# string sports;categorie;url image
Equitation;Equitation;https://www.icone-png.com/png/52/51604.png
Equitation western / Equitation camarguaise;Equitation;https://www.icone-png.com/png/52/51604.png
Escalade;Escalade;https://www.radiobartas.net/wp-content/uploads/2016/02/escalade.png
Escalade dans les arbres;Escalade;https://www.radiobartas.net/wp-content/uploads/2016/02/escalade.png
Escalade sur PAH;Escalade;https://www.radiobartas.net/wp-content/uploads/2016/02/escalade.png
Escalade sur Via ferrata/Corda;Escalade;https://www.radiobartas.net/wp-content/uploads/2016/02/escalade.png
Escrime (Epée / Fleuret / Sabre );Escrime;https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Fencing_pictogram.svg/1200px-Fencing_pictogram.svg.png
Expression gymnique;Gymnastique;https://img2.freepng.fr/20181124/ttl/kisspng-artistic-gymnastics-image-silhouette-handspring-5bf9180ada1157.2847951215430512748932.jpg
Expression libre;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Football / Football en salle (Futsal);Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Football Américain / Flag;Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Formule racer / Vol à moteur / Voltige aérienne/Rallye aérien/Pilotage précision;Sport aérien;https://static.girouette.fr/1076-tm_thickbox_default/ulm-pendulaire.jpg
Fosse européenne;Tir;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Shooting_pictogram.svg/1200px-Shooting_pictogram.svg.png
Fosse universelle;Tir;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Shooting_pictogram.svg/1200px-Shooting_pictogram.svg.png
