# string sports;categorie;url image
Pêche sous marine;Sport d'eau;https://static.thenounproject.com/png/68541-200.png
Pêche sportive à la mouche et au lancer;Sport d'eau;https://static.thenounproject.com/png/68541-200.png
Padel;Sport nautique;https://pngimg.com/uploads/canoe/canoe_PNG102.png
Paintball;Tir;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Shooting_pictogram.svg/1200px-Shooting_pictogram.svg.png
Parachutisme;Sport extrême;https://vamus.com.br/wp-content/themes/rsmjr/assets/app/icon-asadelta.png
Parachutisme Surf;Sport extrême;https://vamus.com.br/wp-content/themes/rsmjr/assets/app/icon-asadelta.png
Parachutisme Voile contact;Sport extrême;https://vamus.com.br/wp-content/themes/rsmjr/assets/app/icon-asadelta.png
Parachutisme Vol relatif;Sport extrême;https://vamus.com.br/wp-content/themes/rsmjr/assets/app/icon-asadelta.png
Parachutisme Voltige;Sport extrême;https://vamus.com.br/wp-content/themes/rsmjr/assets/app/icon-asadelta.png
Parapente;Sport extrême;https://vamus.com.br/wp-content/themes/rsmjr/assets/app/icon-asadelta.png
Parcours de chasse;Tir;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Shooting_pictogram.svg/1200px-Shooting_pictogram.svg.png
Patinage artistique et danse sur roulettes;Patinoire;https://mpng.subpng.com/20180703/cpw/kisspng-ice-skating-speed-skating-roller-skating-ice-skate-5b3b2a3f180702.1315196915306040950984.jpg
Patinage de course;Patinoire;https://mpng.subpng.com/20180703/cpw/kisspng-ice-skating-speed-skating-roller-skating-ice-skate-5b3b2a3f180702.1315196915306040950984.jpg
Patinage de vitesse;Patinoire;https://mpng.subpng.com/20180703/cpw/kisspng-ice-skating-speed-skating-roller-skating-ice-skate-5b3b2a3f180702.1315196915306040950984.jpg
Patinage synchronisé;Patinoire;https://mpng.subpng.com/20180703/cpw/kisspng-ice-skating-speed-skating-roller-skating-ice-skate-5b3b2a3f180702.1315196915306040950984.jpg
Pentathlon Moderne;Athlétisme;https://svgsilh.com/png-1024/309595.png
Pirogue polynésienne (Va'a)/Pirogue dragon;Sport d'eau;https://static.thenounproject.com/png/68541-200.png
Planche à roulettes (Skate);Skate;https://img2.freepng.fr/20180408/esq/kisspng-true-skate-street-league-skateboarding-sport-enfant-5aca2ef78860c9.0331655315231997355586.jpg
